Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
533431,0.1258,0.0592,0.453,0.4712,0.1644,0.0,0.0,0.2624
43647,0.3538,0.4216,0.3476,0.3124,0.0002,0.0002,0.0002,0.0002
43645,0.1242,0.206,0.3718,0.39,0.0002,0.0002,0.0002,0.0002
86894,0.125,0.4996,0.2884,0.1242,0.4668,0.0,0.0098,0.0838
268908,0.4384,0.2118,0.4514,0.3146,0.0,0.0,0.0,0.0
105678,0.3402,0.4384,0.4218,0.4808,0.0002,0.0438,0.2496,0.0002
281199,0.0368,0.0826,0.2236,0.055,0.0002,0.0,0.0354,0.0002
52671,0.1652,0.2096,0.0222,0.0872,0.0002,0.005,0.0238,0.0004
281194,0.4272,0.2662,0.22,0.149,0.0,0.0,0.0,0.0002
567758,0.4686,0.4834,0.2106,0.2222,0.0,0.0,0.0,0.0
281196,0.2002,0.4034,0.3,0.0662,0.2272,0.0,0.0,0.2688
17005,0.2186,0.0222,0.1908,0.0684,0.0,0.0,0.0,0.0
268905,0.0094,0.315,0.0078,0.3688,0.0002,0.0002,0.0002,0.0002
281193,0.0718,0.4894,0.2002,0.2412,0.0002,0.0002,0.0002,0.0002
17006,0.3586,0.0588,0.1826,0.2898,0.0002,0.4294,0.2258,0.0002
36471,0.4208,0.3298,0.4966,0.3354,0.0002,0.0004,0.0166,0.0002
36475,0.4396,0.2978,0.1862,0.152,0.0018,0.0008,0.0088,0.0024
828791,0.4106,0.2104,0.2018,0.378,0.0002,0.168,0.1756,0.0002
36477,0.1048,0.3368,0.0772,0.4128,0.0002,0.0484,0.2196,0.0002
36479,0.4352,0.4606,0.245,0.1898,0.0002,0.0876,0.0168,0.0002
367054,0.3424,0.156,0.142,0.3382,0.0242,0.0,0.0016,0.109
824265,0.1952,0.4706,0.2082,0.4506,0.4904,0.0,0.0,0.0284
34839,0.0048,0.3632,0.0302,0.3832,0.0002,0.0002,0.0002,0.0002
34838,0.0696,0.4904,0.0738,0.3108,0.0002,0.0002,0.0002,0.0002
7255,0.3662,0.0042,0.0124,0.3722,0.0,0.0,0.0,0.0
549871,0.0872,0.1602,0.4876,0.2162,0.0002,0.3828,0.0432,0.0004
549870,0.4006,0.2046,0.2424,0.4438,0.0002,0.0444,0.3054,0.0002
557769,0.3214,0.062,0.4444,0.2128,0.0134,0.0,0.0,0.15
7259,0.0564,0.364,0.0082,0.1352,0.001,0.0,0.0,0.2698
698843,0.4994,0.1656,0.3836,0.34,0.2454,0.0,0.012,0.0802
698845,0.2398,0.1052,0.4004,0.4952,0.0002,0.0012,0.1984,0.0002
84447,0.1208,0.3622,0.1272,0.2628,0.0002,0.0012,0.0004,0.0424
99675,0.0654,0.4574,0.0096,0.3238,0.0002,0.0002,0.1866,0.0002
99676,0.4082,0.0786,0.1086,0.3718,0.0002,0.1622,0.3432,0.0002
17501,0.1196,0.0192,0.3734,0.2968,0.0,0.0,0.0,0.0
836521,0.0738,0.471,0.3394,0.0964,0.0002,0.0752,0.0602,0.0002
836522,0.138,0.0394,0.2826,0.2188,0.0002,0.0002,0.0002,0.0002
577213,0.2674,0.3958,0.1658,0.1702,0.059,0.0,0.0018,0.0764
171229,0.0352,0.3156,0.297,0.051,0.0002,0.0892,0.3574,0.0002
682455,0.3192,0.073,0.4872,0.3336,0.0002,0.0042,0.2362,0.0022
174462,0.4008,0.3736,0.0954,0.0594,0.0016,0.113,0.467,0.0006
529211,0.1134,0.0204,0.269,0.4096,0.0002,0.3502,0.4998,0.0002
563871,0.4488,0.4002,0.3144,0.2086,0.0302,0.0,0.0,0.086
33310,0.4694,0.207,0.3594,0.1638,0.0,0.0002,0.0232,0.0
563879,0.1976,0.0982,0.2632,0.3614,0.0028,0.1182,0.0176,0.003
8809,0.0056,0.0458,0.0068,0.2374,0.017,0.0,0.0,0.0
529326,0.0058,0.4388,0.055,0.1876,0.0002,0.0124,0.3068,0.0002
296925,0.0202,0.2702,0.3202,0.308,0.0002,0.0002,0.0002,0.0002
279129,0.0056,0.2444,0.0066,0.2682,0.0002,0.0002,0.0242,0.4572
