Motifs:     Frequencies:
21983       0.00%
10702       0.00%
812781      0.00%
323583      0.00%
43470       0.00%
75869       0.00%
83020       0.00%
568575      0.00%
183227      0.00%
425983      0.00%
142063      0.00%
575084      0.00%
87406       0.00%
5503        0.00%
281771      0.00%
72364       0.00%
559319      0.00%
11485       0.00%
558079      0.00%
18995       0.00%
33358       0.00%
295597      0.00%
26491       0.00%
9181        0.00%
6301        0.00%
4773        0.00%
99131       0.00%
17315       0.00%
557710      0.00%
543931      0.00%
51183       0.00%
6015        0.00%
281707      0.00%
33771       0.00%
568543      0.00%
87454       0.00%
533098      0.00%
546158      0.00%
699391      0.00%
273131      0.00%
173774      0.00%
278990      0.00%
19541       0.00%
314303      0.00%
560575      0.00%
8654        0.00%
27583       0.00%
42751       0.00%
934         0.00%
36477       0.00%
103838      0.00%
42615       0.00%
558063      0.00%
42719       0.00%
8646        0.00%
418747      0.00%
52151       0.00%
16803       0.00%
6558        0.00%
560062      0.00%
554879      0.00%
18750       0.00%
297197      0.00%
52377       0.00%
314295      0.00%
33599       0.00%
34430       0.00%
5215        0.00%
563071      0.00%
7615        0.00%
281807      0.00%
239581      0.00%
33231       0.00%
41943       0.00%
21919       0.00%
549751      0.00%
51623       0.00%
33767       0.00%
15359       0.00%
20159       0.00%
50663       0.00%
697311      0.00%
577143      0.00%
18863       0.00%
8941        0.00%
18085       0.00%
18083       0.00%
10975       0.00%
43758       0.00%
173805      0.00%
35127       0.00%
14047       0.00%
558061      0.00%
543935      0.00%
530525      0.00%
6459        0.00%
560127      0.00%
33102       0.00%
415         0.00%
33663       0.00%
535275      0.00%
149915      0.00%
18589       0.00%
558059      0.00%
2623        0.00%
314751      0.00%
19135       0.00%
281755      0.00%
22463       0.00%
19951       0.00%
567005      0.00%
18103       0.00%
611742      0.00%
166635      0.00%
7039        0.00%
142011      0.00%
280733      0.00%
1982        0.00%
34387       0.00%
6510        0.00%
33755       0.00%
72396       0.00%
51767       0.00%
577151      0.00%
48127       0.00%
817023      0.00%
174815      0.00%
16775       0.00%
564607      0.00%
35487       0.00%
564431      0.00%
839103      0.00%
560831      0.00%
668535      0.00%
40383       0.00%
61054       0.00%
